clip_id,primary_mood,energy_level,social_context,self_focus,season,time_of_day,location_label,notes
20250101_000056,excited,2,alone,1,winter,late_night,grandmas_house,i remember feeling daunting and excited for the project to come. I was exhausted and feeling a lot of things
20250104_224628,joy,3,friends,1,winter,night,bar,i felt like a new person walking into the bar with all the clothes i got from japan.
20250114_191528,neutral,3,friends,2,winter,evening,home,i got caught filming. suddenly a wave of embarassment hit me. the political space has infiltrated my life.
20250124_005241,sad,1,alone,5,winter,evening,bedroom,i facepalmed and sighed. I have no idea what happened that day. all that remains is an unfamiliar face looking back at me.
20250128_191813,tired,4,friends,2,winter,evening,friends_house,"this was a memorable day. From me running to the bank to get some cash before the event, to playing mahjong with the girl who ghosted me, to a successful and celeboratory event, to an anxious new years celebration with friends from undergrad. I talked to new people and did not know how to continue conversations, feeling left out and out of place, and feeling like everyone was trying to find solace and company in this scattered world."
20250207_235830,excited,4,date,3,winter,evening,arcade,"looking back, this has significant impact on my life. The inside joke of ""what are we gonna do"", the tension filled car talk, and the kiss at the end. I still have quarters left of that date to this day that I need to get rid of."
20250301_215313,sad,1,alone,5,winter,evening,bedroom,"This is the first instance of my sadness that i remember vividly. it was when i planned a date around cooking for her, giving her my special Hungarian wine, and doing an asian snack tasting, only for her to walk out of my life mid-date. It was such an abrupt 180 that i could not understand what happened and it crushed my soul."
20250318_182102,nostalgic,3,alone,1,spring,afternoon,favorite_spot,"i don't remember how i ended up there again. Maybe it was to show one of my friends around as we were in the area. Nonetheless, I found this place last year summer before I broke up with my ex. I never got to show her the place even though i liked it very much. It brought a sense of isolation, but of peace. Of sadness, but of comfort."
20250328_151926,neutral,2,friends,2,spring,afternoon,university_quad,weather shows up a lot more than i expected. I caught most of the days it was really warm before jumping back to agony and cold again.
20250329_235911,anxious,1,friends,3,spring,evening,car,we were going to a club up north. it was a friend's birthday. i remember feeling incredibly anxious and hating the idea of anyone looking at me at that point. This feeling was unbearably strong because of the recent stalker situation at that time. i wanted to peel my skin off and walk away.
20250401_155047,joy,3,friends,2,spring,afternoon,comic_shop,"first time i stepped into first aid comics! this was the slow start of my obsession with magic the gathering. I remember going in to ask about it, and if they had any welcome decks. I already had the game night box at this point but haven't played it too much yet."
20250403_174103,calm,2,alone,3,spring,afternoon,home,the first time i made tea! i also uploaded my videos for the first time. I had just got my sunroom set up and felt really good about my space.
20250407_173354,overwhelmed,4,alone,2,spring,afternoon,boba_shop,"this was when i saw her again after the ghost. we needed to talk about the stalker situation, but i was very scared of seeing her and visiting her space again. I didn't know how I was gonna react or face her after what happened. "
