clip_id,video_file,datetime,date,time,year,month,day,latitude,longitude,location_label,emotion_tags,order_index
20250101_000056,D:\QCC\raw_videos\20250101_000056.mp4,2025-01-01T00:00:56,2025-01-01,00:00:56,2025,1,1,28.4437,119.9056,,,0
20250101_145958,D:\QCC\raw_videos\20250101_145958.mp4,2025-01-01T14:59:58,2025-01-01,14:59:58,2025,1,1,28.4407,119.9205,,,1
20250102_104424,D:\QCC\raw_videos\20250102_104424.mp4,2025-01-02T10:44:24,2025-01-02,10:44:24,2025,1,2,28.4433,119.9135,,,2
20250102_193004,D:\QCC\raw_videos\20250102_193004.mp4,2025-01-02T19:30:04,2025-01-02,19:30:04,2025,1,2,31.2455,121.4868,,,3
20250102_203403,D:\QCC\raw_videos\20250102_203403.mp4,2025-01-02T20:34:03,2025-01-02,20:34:03,2025,1,2,31.2252,121.4414,,,4
20250103_104211,D:\QCC\raw_videos\20250103_104211.mp4,2025-01-03T10:42:11,2025-01-03,10:42:11,2025,1,3,31.2369,121.4693,,,5
20250103_105148,D:\QCC\raw_videos\20250103_105148.mp4,2025-01-03T10:51:48,2025-01-03,10:51:48,2025,1,3,31.2371,121.4684,,,6
20250103_121226,D:\QCC\raw_videos\20250103_121226.mp4,2025-01-03T12:12:26,2025-01-03,12:12:26,2025,1,3,31.2106,121.4635,,,7
20250103_144208,D:\QCC\raw_videos\20250103_144208.mp4,2025-01-03T14:42:08,2025-01-03,14:42:08,2025,1,3,31.2234,121.4409,,,8
20250103_221818,D:\QCC\raw_videos\20250103_221818.mp4,2025-01-03T22:18:18,2025-01-03,22:18:18,2025,1,3,41.7843,-87.6029,,,9
20250104_224628,D:\QCC\raw_videos\20250104_224628.mp4,2025-01-04T22:46:28,2025-01-04,22:46:28,2025,1,4,41.7953,-87.5967,,,10
20250104_225903,D:\QCC\raw_videos\20250104_225903.mp4,2025-01-04T22:59:03,2025-01-04,22:59:03,2025,1,4,41.7953,-87.5967,,,11
20250105_012732,D:\QCC\raw_videos\20250105_012732.mp4,2025-01-05T01:27:32,2025-01-05,01:27:32,2025,1,5,41.7953,-87.5967,,,12
20250105_215719,D:\QCC\raw_videos\20250105_215719.mp4,2025-01-05T21:57:19,2025-01-05,21:57:19,2025,1,5,41.7844,-87.6029,,,13
20250106_164633,D:\QCC\raw_videos\20250106_164633.mp4,2025-01-06T16:46:33,2025-01-06,16:46:33,2025,1,6,41.7844,-87.6028,,,14
20250106_164702,D:\QCC\raw_videos\20250106_164702.mp4,2025-01-06T16:47:02,2025-01-06,16:47:02,2025,1,6,41.7844,-87.6028,,,15
20250107_230422,D:\QCC\raw_videos\20250107_230422.mp4,2025-01-07T23:04:22,2025-01-07,23:04:22,2025,1,7,41.7844,-87.6031,,,16
20250108_144955,D:\QCC\raw_videos\20250108_144955.mp4,2025-01-08T14:49:55,2025-01-08,14:49:55,2025,1,8,41.7901,-87.5989,,,17
20250109_195148,D:\QCC\raw_videos\20250109_195148.mp4,2025-01-09T19:51:48,2025-01-09,19:51:48,2025,1,9,41.7843,-87.6029,,,18
20250110_124218,D:\QCC\raw_videos\20250110_124218.mp4,2025-01-10T12:42:18,2025-01-10,12:42:18,2025,1,10,41.7841,-87.6065,,,19
20250111_083556,D:\QCC\raw_videos\20250111_083556.mp4,2025-01-11T08:35:56,2025-01-11,08:35:56,2025,1,11,41.7897,-87.5968,,,20
20250111_083833,D:\QCC\raw_videos\20250111_083833.mp4,2025-01-11T08:38:33,2025-01-11,08:38:33,2025,1,11,41.7908,-87.5965,,,21
20250112_155218,D:\QCC\raw_videos\20250112_155218.mp4,2025-01-12T15:52:18,2025-01-12,15:52:18,2025,1,12,41.8828,-87.6235,,,22
20250112_163052,D:\QCC\raw_videos\20250112_163052.mp4,2025-01-12T16:30:52,2025-01-12,16:30:52,2025,1,12,41.7876,-87.5888,,,23
20250113_210747,D:\QCC\raw_videos\20250113_210747.mp4,2025-01-13T21:07:47,2025-01-13,21:07:47,2025,1,13,41.7844,-87.6029,,,24
20250114_191528,D:\QCC\raw_videos\20250114_191528.mp4,2025-01-14T19:15:28,2025-01-14,19:15:28,2025,1,14,41.7844,-87.6029,,,25
20250115_191052,D:\QCC\raw_videos\20250115_191052.mp4,2025-01-15T19:10:52,2025-01-15,19:10:52,2025,1,15,41.7843,-87.6027,,,26
20250116_214450,D:\QCC\raw_videos\20250116_214450.mp4,2025-01-16T21:44:50,2025-01-16,21:44:50,2025,1,16,41.7844,-87.6029,,,27
20250117_134134,D:\QCC\raw_videos\20250117_134134.mp4,2025-01-17T13:41:34,2025-01-17,13:41:34,2025,1,17,41.7896,-87.5992,,,28
20250117_135552,D:\QCC\raw_videos\20250117_135552.mp4,2025-01-17T13:55:52,2025-01-17,13:55:52,2025,1,17,41.7874,-87.6012,,,29
20250117_220136,D:\QCC\raw_videos\20250117_220136.mp4,2025-01-17T22:01:36,2025-01-17,22:01:36,2025,1,17,0.0,0.0,,,30
20250118_200219,D:\QCC\raw_videos\20250118_200219.mp4,2025-01-18T20:02:19,2025-01-18,20:02:19,2025,1,18,41.7858,-87.6011,,,31
20250119_212530,D:\QCC\raw_videos\20250119_212530.mp4,2025-01-19T21:25:30,2025-01-19,21:25:30,2025,1,19,41.7844,-87.6029,,,32
20250120_225831,D:\QCC\raw_videos\20250120_225831.mp4,2025-01-20T22:58:31,2025-01-20,22:58:31,2025,1,20,41.7844,-87.6028,,,33
20250121_231944,D:\QCC\raw_videos\20250121_231944.mp4,2025-01-21T23:19:44,2025-01-21,23:19:44,2025,1,21,41.7844,-87.6029,,,34
20250122_135704,D:\QCC\raw_videos\20250122_135704.mp4,2025-01-22T13:57:04,2025-01-22,13:57:04,2025,1,22,41.7912,-87.5935,,,35
20250124_005241,D:\QCC\raw_videos\20250124_005241.mp4,2025-01-24T00:52:41,2025-01-24,00:52:41,2025,1,24,41.7844,-87.6029,,,36
20250124_124636,D:\QCC\raw_videos\20250124_124636.mp4,2025-01-24T12:46:36,2025-01-24,12:46:36,2025,1,24,41.791,-87.5985,,,37
20250125_135216,D:\QCC\raw_videos\20250125_135216.mp4,2025-01-25T13:52:16,2025-01-25,13:52:16,2025,1,25,41.787,-87.5988,,,38
