clip_id,video_file,datetime,date,time,year,month,day,latitude,longitude,location_label,emotion_tags,order_index,lab_colors,rgb_colors,mean_lightness,mean_saturation,tags,tag_1,tag_1_score,tag_2,tag_2_score,tag_3,tag_3_score,tag_4,tag_4_score,tag_5,tag_5_score,primary_mood,energy_level,social_context,self_focus,season,time_of_day,location_label_manual,notes,has_embedding,graph_x,graph_y
20250101_000056,D:\QCC\raw_videos\20250101_000056.mp4,2025-01-01T00:00:56,2025-01-01,00:00:56,2025,1,1,28.4437,119.9056,,,0,"[[158.53289786494184, 128.71346219155072, 131.69417295904856], [10.348722979632186, 128.95453662750091, 126.70674126739823], [75.38949798364004, 128.08439895097246, 129.35145099891463], [129.3565718300283, 127.58446904645878, 126.03749690051093], [169.7980629246062, 128.39164811759102, 131.56006816550655]]","[[152, 149, 144], [12, 14, 18], [70, 69, 68], [117, 121, 124], [163, 161, 156]]",108.68515071656972,182.02802795357945,"Past, Close, Window, Far, Bedroom",Past,0.2468049526214599,Close,0.2428351938724517,Window,0.2422963380813598,Far,0.2413488030433654,Bedroom,0.2367534935474395,excited,2.0,alone,1.0,winter,late_night,grandmas_house,i remember feeling daunting and excited for the project to come. I was exhausted and feeling a lot of things,1,-0.08963243,0.18861821
20250101_145958,D:\QCC\raw_videos\20250101_145958.mp4,2025-01-01T14:59:58,2025-01-01,14:59:58,2025,1,1,28.4407,119.9205,,,1,"[[153.1466062016219, 129.14414747698868, 122.38471739572563], [79.5694121447521, 128.2598508173203, 127.58580503487225], [34.72632690905077, 128.67924043787076, 127.3911441483322], [111.75173029934331, 128.3834683354788, 126.96263256697009], [175.25623875788068, 128.62891930762356, 125.33971839375614]]","[[141, 144, 155], [72, 73, 74], [33, 34, 36], [101, 103, 106], [165, 168, 173]]",110.89006286252976,180.01239204793384,"Day, Atmosphere, Close, Far, Past",Day,0.2080309391021728,Atmosphere,0.2064882963895797,Close,0.2058850526809692,Far,0.2048182785511016,Past,0.2039866894483566,,,,,,,,,1,-0.28518236,-0.019516002
20250102_104424,D:\QCC\raw_videos\20250102_104424.mp4,2025-01-02T10:44:24,2025-01-02,10:44:24,2025,1,2,28.4433,119.9135,,,2,"[[173.59932342049652, 128.25357556607474, 126.3047068445962], [101.95812377579313, 127.73521551366721, 128.26063804951528], [146.2633136591466, 127.95973800396271, 127.65231571472776], [81.72005864752934, 127.71755737346932, 127.83093367244771], [121.55869989852461, 127.73121454495714, 128.5623271986729]]","[[164, 165, 169], [91, 94, 93], [135, 138, 139], [72, 75, 76], [111, 113, 112]]",125.01990388029806,180.73900764690364,"Atmosphere, Far, Day, Winter, Rain",Atmosphere,0.2767339646816253,Far,0.2556480467319488,Day,0.254991352558136,Winter,0.2541515529155731,Rain,0.2519431710243225,,,,,,,,,1,-0.25821987,-0.23848888
20250102_193004,D:\QCC\raw_videos\20250102_193004.mp4,2025-01-02T19:30:04,2025-01-02,19:30:04,2025,1,2,31.2455,121.4868,,,3,"[[50.517447636852644, 129.14426730210135, 129.09415106861138], [183.8126267290175, 128.21160093376767, 132.45779484709774], [98.26387823791308, 130.4921393013494, 127.47378736700094], [135.87376431058317, 130.58013662907408, 131.3339666036779], [75.93743822492014, 129.3739550811455, 127.1760455606639]]","[[49, 47, 46], [179, 176, 169], [93, 90, 92], [132, 125, 121], [70, 69, 71]]",108.8810310278573,183.1973081436244,"Night, Far, Atmosphere, Close, Alone",Night,0.2422672361135482,Far,0.2294886112213134,Atmosphere,0.2259582281112671,Close,0.218401625752449,Alone,0.2178662419319152,,,,,,,,,1,-0.24013649,-0.019254748
20250102_203403,D:\QCC\raw_videos\20250102_203403.mp4,2025-01-02T20:34:03,2025-01-02,20:34:03,2025,1,2,31.2252,121.4414,,,4,"[[15.429224662329318, 129.6524040437249, 125.47428192942448], [126.79428818625206, 130.3035052723968, 134.37010705320108], [90.81808392607313, 130.45527330571446, 132.0375257423636], [167.90565632007636, 127.9531474771803, 135.83906204643338], [58.484157573787044, 131.01344799893843, 124.02830552960688]]","[[19, 19, 23], [125, 116, 107], [89, 82, 77], [163, 159, 146], [56, 53, 60]]",91.8862821337036,184.0472748625953,"Night, Far, Atmosphere, Past, Close",Night,0.2590771913528442,Far,0.2326490432024002,Atmosphere,0.2307116091251373,Past,0.2300852090120315,Close,0.2299162447452545,,,,,,,,,1,-0.21362235,0.009522382
20250103_104211,D:\QCC\raw_videos\20250103_104211.mp4,2025-01-03T10:42:11,2025-01-03,10:42:11,2025,1,3,31.2369,121.4693,,,5,"[[34.444839424244535, 127.75642537358216, 128.976055838481], [122.20490372711585, 128.12828922407013, 129.37023378233974], [80.06952151979024, 127.61749537315583, 129.4252008904676], [189.4221481857104, 127.89782762165449, 128.27588214166323], [147.64807723189477, 128.011719189106, 129.65103897758473]]","[[33, 35, 34], [114, 113, 112], [73, 74, 72], [180, 183, 182], [139, 138, 137]]",114.75789801775116,181.74453206060247,"Atmosphere, Far, Close, Bedroom, Past",Atmosphere,0.247302234172821,Far,0.2419638633728027,Close,0.2344782948493957,Bedroom,0.2333165556192398,Past,0.2322091609239578,,,,,,,,,1,-0.21527365,0.09409031
20250103_105148,D:\QCC\raw_videos\20250103_105148.mp4,2025-01-03T10:51:48,2025-01-03,10:51:48,2025,1,3,31.2371,121.4684,,,6,"[[71.16005718449028, 128.38756086017983, 127.68738054412194], [137.77900637354134, 127.98016214819731, 127.8279127046758], [103.9313867276797, 128.156784979744, 128.34910280441022], [22.267657746730336, 128.95905731975324, 126.10082767243318], [168.92168775551073, 128.1082891519361, 127.86213102386786]]","[[65, 66, 67], [126, 129, 130], [95, 95, 95], [23, 25, 27], [159, 160, 162]]",100.81195915759046,180.9396332456409,"Rain, Day, Close, Far, Window",Rain,0.2563638389110565,Day,0.2374731451272964,Close,0.2374146729707718,Far,0.2331477254629135,Window,0.2307242155075073,,,,,,,,,1,-0.2350599,-0.08162896
20250103_121226,D:\QCC\raw_videos\20250103_121226.mp4,2025-01-03T12:12:26,2025-01-03,12:12:26,2025,1,3,31.2106,121.4635,,,7,"[[33.520901910749316, 128.63339584344567, 129.2645479415791], [151.09611223159993, 130.14215862315487, 133.87294702956657], [92.31096737497772, 129.01881548327205, 131.20861006391527], [123.10647892834069, 130.38404880496094, 134.39496981420646], [64.82981150929021, 128.21077035296875, 129.2441189527286]]","[[34, 33, 32], [150, 141, 134], [89, 84, 80], [122, 113, 105], [60, 59, 58]]",92.9728543909916,184.47612338843888,"Window, Past, Close, Bedroom, Far",Window,0.2595755457878113,Past,0.2561957538127899,Close,0.2536725997924804,Bedroom,0.2530246376991272,Far,0.2433700561523437,,,,,,,,,1,-0.0673675,0.05054797
20250103_144208,D:\QCC\raw_videos\20250103_144208.mp4,2025-01-03T14:42:08,2025-01-03,14:42:08,2025,1,3,31.2234,121.4409,,,8,"[[79.51429551870672, 132.54833765757994, 129.40033944756271], [164.49865276912976, 132.6693497842189, 129.44589355652298], [40.56011396775037, 131.90859437935399, 128.2212336997187], [109.00346332651227, 133.36981389595869, 130.61055205652738], [142.62113599142154, 133.54404466693413, 132.26773999808606]]","[[80, 71, 71], [164, 153, 154], [43, 38, 39], [111, 98, 98], [145, 130, 127]]",107.23953231470412,185.8373143237585,"Atmosphere, Far, Alone, Friends, Close",Atmosphere,0.2519668042659759,Far,0.2459679543972015,Alone,0.2448849231004715,Friends,0.2420939952135086,Close,0.241748422384262,,,,,,,,,1,-0.15748723,0.075576246
20250103_221818,D:\QCC\raw_videos\20250103_221818.mp4,2025-01-03T22:18:18,2025-01-03,22:18:18,2025,1,3,41.7843,-87.6029,,,9,"[[57.312543406093624, 129.31546879994664, 127.81261467596552], [136.31589269812815, 126.61690282222148, 134.89360668231896], [115.34505054717741, 127.65587953915691, 134.1192396687658], [172.92890399409032, 126.47875290612814, 133.21452076622037], [87.30193542739772, 128.82420779755793, 129.95266252502154]]","[[54, 53, 55], [128, 128, 117], [109, 107, 97], [164, 165, 155], [81, 80, 79]]",113.84086521457743,183.7330381478133,"Bedroom, Alone, Close, Thoughts, Self",Bedroom,0.2839567065238952,Alone,0.2636133134365082,Close,0.2603988945484161,Thoughts,0.2588911652565002,Self,0.2579315602779388,,,,,,,,,1,0.22025725,0.047534443
20250104_224628,D:\QCC\raw_videos\20250104_224628.mp4,2025-01-04T22:46:28,2025-01-04,22:46:28,2025,1,4,41.7953,-87.5967,,,10,"[[146.16358768649758, 131.99726556046332, 139.32952220381472], [9.623567804057096, 129.76513551859873, 127.31417327485771], [87.67349383235424, 134.0147362223885, 138.41183008807636], [228.3221729350547, 122.96067898366277, 143.42460881220842], [46.95667086337902, 132.46022113787848, 137.3509560386717]]","[[150, 135, 119], [14, 12, 15], [95, 77, 65], [225, 227, 196], [54, 42, 31]]",103.74789862426852,189.22241705347392,"Atmosphere, Night, Far, Close, Fun",Atmosphere,0.2339265048503875,Night,0.2333723306655883,Far,0.2289043813943863,Close,0.2284526824951172,Fun,0.2283650785684585,joy,3.0,friends,1.0,winter,night,bar,i felt like a new person walking into the bar with all the clothes i got from japan.,1,-0.2179132,0.070015736
